PART NUMBER,FINISHED GOODS DESCRIPTION,PCS,QTY,RM PER PCS WT,TOTAL WT,PRICE,VALUE
030521312029,"5"" MANHOLE WITH 12""L GALV SKIRT FULL ASSEMBLY",PCS,0,3.78,0,241.63,0.00
030610112025,"6"" ALUM MANHOLE WITH 12""LONG SKIRT FULL ASSEMBLY H20",PCS,0,0,0,723,0
030620102025,"6"" ALUM MANHOLE FULL ASSEMBLY 2""Long",NOS,0,0,0,679,0
030620108025,"6"" ALUM MANHOLE WITH 8""LONG SKIRT FULL ASSEMBLY H20",PCS,0,0,0,723,0
030620110025,"6"" ALUM MANHOLE WITH 10"" LONG SKIRT FULL ASSEMBLY H20",PCS,0,0,0,723,0
030620199025,"6"" ALUM MANHOLE FULL ASSEMBLY RIDEAU",PCS,8,2.1,8,1134,9072.00
0306202M0025,"6"" ALUM MANHOLE TOP PLATE MACHINING H20 NEW",PCS,21,0.86,21,283.6,5955.60
0306203M0025,"6"" ALUM MANHOLE BOTTOM RING MACHINING",PCS,0,0.8,0,238,0.00
0306203M0025,"6"" ALUM MANHOLE BOTTOM RING MACHINING H20 NEW",PCS,0,0.638,0,237.6,0.00
030620400025,"6"" ALUM MANHOLE GASKET",NOS,70,0.015,1.05,37,2590.00
030620600025,"6"" ALUM MANHOLE BOLT (3/8-16 UNC SS ALLEN BOLT 1"" LONG)",NOS,28,0.098,2.744,21,588.00
030620800025,"6"" ALUM MANHOLE BOTTOM RING ASSEMBLY RIDEAU",nos,0,0,0,630,0
030620802025,"6"" ALUM MANHOLE BOTTOM RING ASSEMBLY WITH 2"" L SKIRT",NOS,0,0,0,630,0
030620808025,"6"" ALUM MANHOLE BOTTOM RING ASSEMBLY WITH 8"" L SKIRT",NOS,3,1.3,3.9,310,1209.00
030620810025,"6"" ALUM MANHOLE BOTTOM RING ASSEMBLY WITH 10"" L SKIRT",NOS,0,0,0,630,0
030820175029,"8"" MANHOLE WITH 7 1/2"" GALV SKIRT FULL ASSY (2 HOLE)",PCS,0,7,0,807.15,0.00
0308202M0029,"8"" MANHOLE TOP PLATE MACHINING (2 HOLE)",PCS,21,2.49,21,285.2,5989.20
0308203M0029,"8"" MANHOLE BOTTOM RING MACHINING (2 HOLE)",PCS,14,3.195,14,370.3,5184.20
030820412029,"8"" MANHOLE WITH 12"" STEEL SKIRT FULL ASSY (2 HOLE)",PCS,1,12,1,1213.4,1213.40
030820512029,"8"" MANHOLE WITH 12"" GALV SKIRT FULL ASSY (2 HOLE)",PCS,0,7,0,807.15,0.00
030820675029,"8"" MANHOLE WITH 7 1/2"" STEEL SKIRT FULL ASSY (2 HOLE)",PCS,0,10,0,1075.4,0.00
030820712029,"8"" MANHOLE BOTTOM RING STEEL ASSY (2 HOLE 12"" LONG)",PCS,0,4.54,0,494.95,0.00
030820812029,"8"" MANHOLE BOTTOM RING GALV ASSY (2 HOLE 12"" LONG)",PCS,2,4.54,2,494.95,989.90
030820975029,"8"" MANHOLE BOTTOM RING STEEL ASSY (2 HOLE 7.5"" LONG)",PCS,0,6.68,0,457.05,0.00
030821075029,"8"" MANHOLE BOTTOM RING GALV ASSY (2 HOLE 7.5"" LONG)",PCS,0,6.68,0,457.05,0.00
030821200029,"8"" MANHOLE WITH NAME PLATE ASSEMBLY (2 HOLE)",PCS,0,0,0,288.15,0
030830175029,"8"" MANHOLE WITH 7 1/2"" GALV SKIRT FULL ASSY (3 HOLE)",PCS,2,6.6,2,747,1494.00
0308302M0029,"8"" MANHOLE TOP PLATE MACHINING(3 HOLE)",PCS,0,2.46,0,267.95,0.00
0308303M0029,"8"" MANHOLE BOTTOM RING MACHINING(3 HOLE)",PCS,2,3.165,2,364.55,729.10
030830400029,"8"" MANHOLE NEOPRINE GASKET",NOS,20,0.032,0.64,45,900.00
030831175029,"8"" MANHOLE WITH 7 1/2"" STEEL SKIRT FULL ASSY (3 HOLE)",PCS,0,10,0,1069.9,0.00
030831212029,"8"" MANHOLE WITH 12"" GALV SKIRT FULL ASSY (3 HOLE)",PCS,0,7,0,829.9,0.00
030831312029,"8"" MANHOLE WITH 12"" STEEL SKIRT FULL ASSY (3 HOLE) WITH TAG",PCS,0,13.5,0,1203.9,0.00
030831400029,"8"" MANHOLE NAME PLATE",,287,,,,
030831512029,"8"" MANHOLE BOTTOM RING STEEL ASSY (3 HOLE 12"" LONG)WITH TAG",PCS,0,0,0,916.5,0
030831612029,"8"" MANHOLE BOTTOM RING GALV ASSY (3 HOLE 12"" LONG)",PCS,0,4.42,0,476.45,0.00
030831775029,"8"" MANHOLE BOTTOM RING STEEL ASSY (3 HOLE 7.5"" LONG)",PCS,0,0,0,709,0
030831875029,"8"" MANHOLE BOTTOM RING GALV ASSY (3 HOLE 7.5"" LONG)",PCS,2,3.8,2,438.55,877.10
030831900029,"8"" MANHOLE WITH NAME PLATE ASSEMBLY (3 HOLE)",PCS,0,0,0,270.9,0
030832012029,"8"" MANHOLE L- ANGLE TAG CUTTING",NOS,0,0,0,0,130
030832112029,"8"" MANHOLE 12"" LONG STEEL PIPE WITH TAG ASSY (3 HOLE)",PCS,0,0,0,916.5,0
031230112029,"12"" MANHOLE WITH 12"" LONG GALV SKIRT  FULL ASSY",PCS,0,12,0,1412.99,0.00
0312302M0029,"12"" MANHOLE TOP PLATE MACHINING",PCS,7,4.7,7,494.04,3458.28
0312303M0029,"12"" MANHOLE BOTTOM RING MACHINING",PCS,7,5.501,7,650.8,4555.60
031230400029,"12"" MANHOLE NEOPRINE GASKET",NOS,6,0.36,2.16,54,324.00
031230712029,"12"" MANHOLE WITH 12"" GALV SKIRT CUTTING",NOS,0,0,0,0,0
031230812029,"12"" MANHOLE 12"" LONG STEEL PIPE CUTTING",NOS,0,0,0,0,0
031230912029,"12"" MANHOLE WITH 12"" STEEL SKIRT FULL ASSY",PCS,0,22,0,2276.24,0.00
031231012029,"12"" MANHOLE NAME PLATE",NOS,100,0.04,4,2,8.00
031231112029,"12"" MANHOLE BOTTOM RING STEEL ASSY (12"" LONG)",PCS,0,0,0,650.8,0
031231212029,"12"" MANHOLE BOTTOM RING GALV ASSY (12"" L)",PCS,6,11.5,6,824.45,4946.70
031231300029,"12"" MANHOLE WITH NAME PLATE ASSEMBLY",PCS,0,0,0,652.8,0
040100275014,"1 1/4"" DRIVE COUPLING 2.75"" LONG",PCS,0,0.435,0,85,0.00
04011025M003,"1"" R&D COUPLING CF8 MACHINING",PCS,1,0.29,1,162.75,162.75
040200337014,"2"" DRIVE COUPLING 3.375"" LONG",PCS,0,0.956,0,85,0.00
04021027M003,"2"" R&D COUPLING CF8 MACHINING",PCS,2,0.49,2,296.16,592.32
040311301014,"3"" 8 TPI ROUND THREAD COUPLING",PCS,12,0,0,90,0
040410350014,"4"" 8 TPI ROUND THREAD COUPLING",PCS,0,0,0,90,0
040410431014,"4"" R&D COUPLING 4.31"" LONG",PCS,0,5.58,0,92,0.00
040491137014,"4"" PRESS X PRESS COUPLING 11.375"" LONG",PCS,0,9.66,0,92,0.00
040510462014,"5- 9/16"" API TURNED DOWN COUPLING",PCS,0,2,0,95,0.00
040511375014,"5"" 8 TPI ROUND THREAD COUPLING",PCS,0,1.9,0,95,0.00
040550525014,"5"" SOCKET X SOCKET COUPLING 5.25"" LONG",PCS,0,1.9,0,95,0.00
040591137014,"5"" PRESS X PRESS COUPLING 11.375"" LONG",PCS,0,0,0,90,0
040610469014,"6"" R&D COUPLING 4.69"" LONG",PCS,0,5.9,0,100,0.00
040611487014,"6"" STEP COUPLING 4.875""LONG",,0,,,,
040620488014,"6"" API COUPLING 4.88"" LONG",PCS,0,8.32,0,100,0.00
040630468014,"6"" FULL TURNED OUT COUPLING 4.68"" LONG",PCS,0,8.03,0,100,0.00
040640488014,"6"" HALF TURNED OUT COUPLING 4.88"" LONG",PCS,0,8.32,0,100,0.00
040650468014,"6"" SOCKET X SOCKET COUPLING 4.68"" LONG",PCS,0,5.12,0,105,0.00
040660488014,"6"" API REVERSE BEVEL COUPLING 4.88"" L",PCS,0,8.82,0,100,0.00
040680370014,"6"" MERCHANT COUPLING 3.70"" LONG",PCS,1,0,0,90,0
040691137014,"6"" PRESS X PRESS COUPLING 11.375"" LONG",PCS,0,13,0,100,0.00
040691200014,"6"" PRESS X PRESS COUPLING 12"" LONG",PCS,0,13.5,0,100,0.00
040770725014,"7"" LIMITED SERVICE COUPLING 7.25"" LONG",,0,,,,
040810506014,"8"" R&D COUPLING 5.06"" LONG",PCS,0,13.61,0,95,0.00
040850506014,"8"" SOCKET X SOCKET COUPLING 5.06"" LONG",PCS,0,13.61,0,95,0.00
040880469014,"8"" MERCHANT COUPLING 4.69"" LONG",PCS,1,0,1,90,0
041020556014,"10 3/4"" API COUPLING 5.563""LONG",PCS,0,0,0,95,0
041050400014,"10"" SOCKET X SOCKET COUPLING 4.0""LONG",PCS,1,0,0,95,0
041210200014,"1 1/4"" 8 TPI ROUND THREAD COUPLING",PCS,0,0,0,90,0
04121025M003,"1.25"" R&D COUPLING CF8 MACHINING",PCS,9,0.38,9,183.36,1650.24
04151025M003,"1.5"" R&D COUPLING CF8 MACHINING",PCS,0,0.29,0,162.75,0.00
050502000014,"5"" WELD RING 2.0"" LONG A105",PCS,0,2.03,0,95,0.00
05050200C014,"5"" WELD RING 2"" L CENTER OUT",PCS,0,2,0,95,0.00
050503500014,"5"" WELD ON COUPLING 3.5"" LONG (WELD RING)",PCS,0,2,0,95,0.00
050602000014,"6"" WELD RING 2.0"" LONG",PCS,0,2.3,0,95,0.00
05060200C014,"6"" WELD RING 2.0"" LONG CENTER OUT",PCS,0,2.3,0,95,0.00
050603000014,"6"" WELD RING 3.0"" LONG",PCS,0,3.33,0,95,0.00
050603500014,"6"" WELD RING 3.5"" LONG",PCS,0,3.33,0,95,0.00
050802000014,"8"" WELD RING 2.0"" LONG",PCS,0,5.82,0,84.5,0.00
050803000014,"8"" WELD RING 3.0"" LONG",PCS,0,8.36,0,84.5,0.00
051003000014,"10"" WELD RING 3.0""LONG",PCS,0,2.67,0,85,0.00
060504000007,"5"" SS PLUG ASSEMBLY",PCS,0,2.16,0,340,0.00
060504000014,"5"" CS PLUG ASSEMBLY",PCS,0,3.65,1,403.75,0.00
060504010007,"5"" SS PLUG BODY SS304",PCS,0,0,0,340,0
060504010014,"5"" CS PLUG BODY A105",PCS,0,0,0,85,0.00
060504020007,"5"" SS PLUG BOTTOM PLATE SS304",PCS,20,0,0,,1050
060504020014,"5"" CS PLUG BOTTOM PLATE",PCS,0,0,0,0,0.00
070200A0P001,"2"" PRESS X DRIVE SHOE 7.2""LONG",PCS,1,2.09,41.8,109,4556.20
070201A00001,"2"" THREADED REG DRIVE SHOE 2.125"" ID 2.875"" LONG",PCS,0,1.27,0,109,0.00
070201S00001,"2"" THREADED REGULAR DRIVE SHOE 2.0"" ID 2.875"" LONG SPECIAL",PCS,0,2.72,0,109,0
070300A00002,"3"" WELD ON REGULAR DRIVE SHOE 3.5"" LONG",PCS,0,6.35,0,80,0.00
070301A00002,"3"" THREADED REG DRIVE SHOE 3.10""ID 3.5"" LONG",PCS,0,6.35,0,80,0.00
070400A00001,"4"" WELD ON REGULAR DRIVE SHOE 4"" L 4.125"" ID",PCS,0,3.65,0,109,0.00
070400A0P001,"4"" PRESS X DRIVE SHOE 7.2"" LONG",PCS,161,3.86,0,91,0.00
070400B00001,"4"" WELD ON REGULAR DRIVE SHOE 4""L 4.25"" ID",PCS,0,3.65,0,109,0.00
070401A00001,"4"" THREADED REGULAR DRIVE SHOE 4"" L 4.125"" ID",PCS,0,3.65,587.65,109,64053.85
070410A00001,"4"" WELD ON ROTARY DRIVE SHOE 4""L 4.125"" ID",PCS,0,3.65,0,109,0.00
070410B00001,"4"" WELD ON ROTARY DRIVE SHOE 4""L 4.25"" ID",PCS,0,3.65,0,109,0.00
070411A00001,"4"" THREADED ROTARY DRIVE SHOE 4""L 4.125"" ID",PCS,0,3.65,0,109,0.00
070411B00001,"4"" THREADED ROTARY DRIVE SHOE 4""L 4.25"" ID",PCS,0,3.65,0,109,0.00
070500A00001,"5"" WELD ON REGULAR DRIVE SHOE 4.0""L 5.125"" ID",PCS,0,2.57,0,104,0.00
070500A0P001,"5"" PRESS X DRIVE SHOE 7.2"" LONG",PCS,1,4.495,0,104,0.00
070500A10001,"5"" WELD ON REGULAR DRIVE SHOE 4.50"" L 5.125"" ID",PCS,0,2.51,0,104,0.00
070500B00001,"5"" WELD ON REGULAR DRIVE SHOE 4.0"" L 5.25"" ID",PCS,0,2.56,2.56,104,266.24
070500C00001,"5"" ODEX SHOE 4.5"" LONG",PCS,0,0,0,0,0.00
070501A10001,"5"" THREADED REGULAR DRIVE SHOE 4.5""L 5.125"" ID",PCS,11,3.45,0,104,0.00
070501B10001,"5"" THREADED REGULAR DRIVE SHOE 4.5"" L 5.25"" ID",PCS,0,3.336,0,104,0.00
070510B00001,"5"" WELD ON ROTARY DRIVE SHOE 4.0"" L 5.125"" ID",PCS,0,2.55,28.05,104,2917.20
070510B10001,"5"" WELD ON ROTARY DRIVE SHOE 4.5""L 5.25"" ID",PCS,0,2.48,0,104,0.00
070511A10001,"5"" THREADED ROTARY DRIVE SHOE 4.5""L 5.125"" ID",PCS,0,3.44,0,104,0.00
070511B00001,"5"" THREADED ROTARY DRIVE SHOE 4.0""L 5.25"" ID",PCS,0,3.19,0,104,0.00
070600A00001,"6"" WELD ON REGULAR DRIVE SHOE 4"" LONG 6.125"" ID",PCS,4,10.15,0,105,0.00
070600A0P001,"6"" PRESS X DRIVE SHOE 7.29"" LONG",PCS,0,0,0,105,0
070600A20001,"6"" WELD ON REGULAR DRIVE SHOE 5.4"" LONG 6.125"" ID",PCS,120,10.15,40.6,105,4263.00
070600B00001,"6"" WELD ON REG DRIVE SHOE 4"" LONG 6.25"" ID",PCS,0,10.15,0,105,0.00
070600B10001,"6"" WELD ON REGULAR DRIVE SHOE 4.5"" LONG 6.25"" ID",PCS,0,8.53,1023.6,105,107478.00
070600B20001,"6"" WELD ON REGULAR DRIVE SHOE 5.4"" LONG 6.25"" ID",PCS,0,10.15,0,105,0.00
070601A00001,"6"" THREADED REGULAR DRIVE SHOE 4.0""LONG 6.125""ID",PCS,0,4.85,0,105,0.00
070601A20001,"6"" THREADED REGULAR DRIVE SHOE 5.4"" LONG 6.125"" ID",PCS,0,10.15,0,105,0.00
070601B10001,"6"" THREADED REG DRIVE SHOE 4.5""L 6.25"" ID",PCS,0,10.15,0,105,0.00
070601B20001,"6"" THREADED REGULAR DRIVE SHOE 5.4"" LONG 6.25"" ID",PCS,0,10.15,0,105,0.00
070610A20001,"6"" WELD ON ROTARY DRIVE SHOE 5.4"" LONG 6.125"" ID",PCS,0,10.13,0,105,0.00
070610B00001,"6"" WELD ON ROTARY DRIVE SHOE 4"" LONG 6.25"" ID",PCS,0,7.64,0,105,0.00
070610B10001,"6"" WELD ON ROTARY DRIVE SHOE 4.5"" LONG 6.25"" ID",PCS,0,8.53,0,105,0.00
070610B20001,"6"" WELD ON ROTARY DRIVE SHOE 5.4"" LONG 6.25"" ID",PCS,0,10.13,0,105,0.00
070611A00001,"6"" THREADED ROTARY DRIVE SHOE 4.0"" L 6.125"" ID",PCS,0,7.64,0,105,0.00
070611A20001,"6"" THREADED ROTARY DRIVE SHOE 5.4"" L 6.125"" ID",PCS,0,10.15,0,105,0.00
070611B0N001,"6"" THREADED ROTARY DRIVE SHOE 4.0"" L 6.3"" ID NUMA",PCS,8,7.64,0,105,0.00
070611B10001,"6"" THREADED ROTARY DRIVE SHOE 4.5"" LONG 6.25"" ID",PCS,0,8.53,0,105,0.00
070611B20001,"6"" THREADED ROTARY DRIVE SHOE 5.4"" LONG 6.25"" ID",PCS,0,10.15,81.2,105,8526.00
070700B10001,"7"" WELD ON REGULAR DRIVE SHOE 5.4""LONG 6.637"" ID",,0,,,,
070701B10001,"7"" THREADED REGULAR DRIVE SHOE 5.4"" LONG",,0,,,,
070800A10001,"8"" WELD ON REG DRIVE SHOE 7.5"" LONG 8.125"" ID",PCS,2,21,0,84.5,0.00
070800B10001,"8"" WELD ON REGULAR DRIVE SHOE 7.5"" LONG 8.25"" ID",PCS,0,21,0,84.5,0.00
070801A10001,"8"" THREADED REGULAR DRIVE SHOE 7.5"" LONG 8.125""ID",PCS,0,21,42,84.5,3549.00
070801B10001,"8"" THREADED REGULAR DRIVE SHOE 7.5"" LONG 8.25""ID",PCS,0,21,0,84.5,0.00
070810A10001,"8"" WELD ON ROTARY DRIVE SHOE 7.5"" LONG 8.125""ID",PCS,0,21,0,84.5,0.00
070810B10001,"8"" WELD ON ROTARY DRIVE SHOE 7.5"" LONG 8.25"" ID",PCS,0,21,0,84.5,0.00
070811B10001,"8"" THREADED ROTARY DRIVE SHOE 7.5""LONG 8.25"" ID",PCS,0,21,0,84.5,0.00
071000B10001,"10"" WELD ON REGULAR DRIVE SHOE 8"" LONG",PCS,4,20,0,7200,0.00
071200B10002,"12"" WELD ON REGULAR DRIVE SHOE",PCS,0,29,0,9680,0.00
080050025007,"0.5"" SS NIPPLE 2.5"" LONG",PCS,0,0,0,340,0
080075025007,"0.75"" SS NIPPLE 2.5"" LONG",PCS,0,0,0,340,0
080100025007,"1.0"" SS NIPPLE 2.5"" LONG",PCS,0,0,0,340,0
080150025007,"1.5"" SS NIPPLE 2.5"" LONG",PCS,0,0,0,340,0
080503750007,"5"" SS NIPPLE 3.75"" L",PCS,0,1.07,0,340,0.00
080504000014,"5"" CS CLOSE NIPPLE 4"" L",PCS,0,2.27,0,95,0.00
080524000007,"5"" SS NIPPLE 24"" L",PCS,0,,0,340,0.00
080536000007,"5"" SS NIPPLE 36"" L",PCS,0,,0,340,0.00
080604000014,"6"" CS CLOSE NIPPLE 4"" L",PCS,0,1.7,0,85,0.00
080624000014,"6"" CS CLOSE NIPPLE 24""L",PCS,0,0,0,85,0
090412000002,"4"" DUAL ROTARY SHOE 12 BUTTON ASSEMBLY",PCS,0,0,0,0,0
090412010002,"4"" DUAL ROTARY SHOE 12 BUTTON BODY",PCS,0,0,0,0,0
090514000002,"5"" DUAL ROTARY SHOE 14 BUTTON ASSEMBLY",PCS,0,0,0,0,0.00
090514010002,"5"" DUAL ROTARY SHOE 14 BUTTON BODY",PCS,0,0,0,0,0.00
090608000001,"6"" DUAL ROTARY SHOE 8 BUTTON ASSY",PCS,0,0,0,767.5,0
090608010001,"6"" DUAL ROTARY SHOE 8 BUTTON BODY",PCS,0,0,0,367.5,0
090612000001,"6"" DUAL ROTARY SHOE 12 BUTTON ASSY",PCS,29,3.5,0,967.5,0.00
090612010001,"6"" DUAL ROTARY SHOE 12 BUTTON BODY",PCS,0,3.5,0,105,0.00
090614000001,"6"" DUAL ROTARY SHOE 14 BUTTON ASSY",PCS,1,3.5,29,967.5,28057.50
090614010001,"6"" DUAL ROTARY SHOE 14 BUTTON BODY",PCS,0,0,0,367.5,0
090616000001,"6"" DUAL ROTARY SHOE 16 BUTTON ASSY",PCS,0,3.5,1,1167.5,1167.50
090616010001,"6"" DUAL ROTARY SHOE 16 BUTTON BODY",PCS,0,3.5,0,367.5,0.00
090620000001,"6"" DUAL ROTARY SHOE 20 BUTTONS ASSY",PCS,0,3.5,0,1367.5,0.00
090620010001,"6"" DUAL ROTARY SHOE 20 BUTTON BODY",PCS,42,3.5,0,105,0.00
090622000001,"6"" DUAL ROTARY SHOE 22 BUTTON ASSY",PCS,0,3.5,0,1467.5,0.00
090622010001,"6"" DUAL ROTARY SHOE 22 BUTTON BODY",PCS,0,3.5,0,367.5,0.00
090628000010,"6"" HD DUAL ROTARY RHINO DRIVE SHOE ASSY",PCS,0,,0,,
09062800H010,"6"" HD FLUTED DUAL ROTARY DRIVE SHOE ASSY",PCS,0,3.86,0,2520,0.00
090628010010,"6"" HD DUAL ROTARY RHINO DRIVE SHOE BODY",PCS,0,,,,
09062801H010,"6"" HD FLUTED DUAL ROTARY DRIVE SHOE BODY",PCS,0,3.86,0,1120,0.00
090818000001,"8"" DUAL ROTARY SHOE 18 BUTTON ASSY",PCS,0,6.22,0,1074.5,0.00
090818010001,"8"" DUAL ROTARY SHOE 18 BUTTON BODY",PCS,0,6.22,0,84.5,0.00
090822000001,"8"" DUAL ROTARY SHOE 22 BUTTON ASSY",PCS,0,6.22,0,1925.59,0.00
090822010001,"8"" DUAL ROTARY SHOE 22 BUTTON BODY",PCS,0,6.22,0,84.5,0.00
090932001002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY 8 5/8"" ID",PCS,0,0,0,3118,0
090932002002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY 9 3/16"" ID",PCS,0,0,0,3118,0
090932011002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON BODY 8 5/8"" ID",PCS,0,0,0,1518,0
090932012002,"9 5/8"" DUAL ROTARY SHOE 32 BUTTON BODY 9 3/16"" ID",PCS,1,0,0,1518,1518
091012000002,"10"" DUAL ROTARY SHOE 12 BUTTON ASSY",PCS,0,4.72,0,1865,0.00
091022000002,"10"" DUAL ROTARY SHOE 22 BUTTON ASSY",PCS,0,4.8,0,2365,0.00
091228000002,"12"" DUAL ROTARY SHOE 28 BUTTON ASSEMBLY",PCS,0,0,0,0,0
091333200002,"13 3/8"" DUAL ROTARY SHOE 32 BUTTON ASSEMBLY",PCS,0,,0,3465,0.00
091333210002,"13 3/8"" DUAL ROTARY SHOE 32 BUTTON BODY",PCS,0,,0,1705,0.00
091364000002,"13 5/8"" DUAL ROTARY SHOE 40 BUTTON ASSEMBLY",PCS,0,5.81,0,3573,0.00
091364010002,"13 5/8"" DUAL ROTARY SHOE 40 BUTTON BODY",PCS,1,,0,1573,0.00
091632000002,"16"" DUAL ROTARY SHOE 32 BUTTON ASSY",PCS,0,0,0,3332,0
091632010002,"16"" DUAL ROTARY SHOE 32 BUTTON BODY",PCS,0,0,0,1732,0
091824000002,"18"" DUAL ROTARY SHOE 24 BUTTON ASSY",PCS,0,0,0,3170,0
091824010002,"18"" DUAL ROTARY SHOE 24 BUTTON BODY",PCS,0,0,0,1850,0
092026000002,"20"" DUAL ROTARY SHOE 26 BUTTON ASSY",PCS,0,7.5,0,4600,0.00
092026010002,"20"" DUAL ROTARY SHOE 26 BUTTON BODY",PCS,0,7.5,0,3300,0.00
092040000002,"20"" DUAL ROTARY SHOE 40 BUTTON ASSY",PCS,0,9,0,5300,0.00
092040010002,"20"" DUAL ROTARY SHOE 40 BUTTON BODY",PCS,0,9,0,3300,0.00
092448000002,"24"" DUAL ROTARY SHOE 48 BUTTON ASSY",PCS,0,10,0,5700,0.00
092448010002,"24"" DUAL ROTARY SHOE 48 BUTTON BODY",PCS,0,10,0,3300,0.00
092454000002,"24"" DUAL ROTARY SHOE 54 BUTTON ASSEMBLY",PCS,0,0,0,6000,0.00
092454010002,"24"" DUAL ROTARY SHOE 54 BUTTON BODY",PCS,0,0,0,3300,0.00
100000900014,"ROUND MONUMENT 7/16 -14 UNC BOLT & NUT 1"" LONG",PCS,24,0,0,,
100400700014,"4"" ROUND MONUMENT U ROD",NOS,9,0.082,0,65,0.00
100440000014,"4"" ROUND MONUMENT 4' LONG FULL ASSEMBLY",PCS,0,11.5,0,1055,0.00
100450000014,"4"" ROUND MONUMENT 5' LONG FULL ASSEMBLY",PCS,0,13,24,1055,25320.00
100600100014,"6"" ROUND MONUMENT TOP CAP ASSEMBLY",PCS,0,1.56,14.04,90,1263.60
100600110014,"6"" ROUND MONUMENT TOP CAP PIPE WITH TOP PLATE WELDING SUB ASSY",PCS,0,0,0,90,0
100600200014,"6"" ROUND MONUMENT TOP CAP PIPE",PCS,0,0,0,85,0
100600300014,"6"" ROUND MONUMENT TOP PLATE",NOS,8,0.58,0,75,0.00
100600400014,"6"" ROUND MONUMENT TOP LOCK PLATE",NOS,0,0.085,0,66,0.00
100600600014,"6"" ROUND MONUMENT BOTTOM LOCK PLATE",NOS,0,0.058,0,65,0.00
100600700014,"6"" ROUND MONUMENT U ROD",NOS,20,0.091,0.728,75,54.60
100600800014,"6"" ROUND MONUMENT U CLAMP",NOS,0,0.066,0,65,0.00
100640000014,"6"" ROUND MONUMENT 4' LONG FULL ASSEMBLY",PCS,0,15,0,1326,0.00
100650000014,"6"" ROUND MONUMENT 5' LONG FULL ASSEMBLY",PCS,0,17,20,1609,32180.00
110440000014,"4"" SQUARE MONUMENT 4' LONG ASSEMBLY",PCS,0,11.5,0,1139,0.00
110450000014,"4"" SQUARE MONUMENT 5' LONG ASSEMBLY",PCS,0,13.5,0,1039,0.00
120600030025,"6"" ALUM WELL CAP INNER GASKET 6MM THICKNESS",NOS,8,0.018,0,15,0.00
120600040025,"6"" ALUM WELL CAP OUTER GASKET 2MM THICKNESS",NOS,38,0.003,0,64,0.00
