PART NUMBER,RAW MATERIAL DESCRIPTION,PURPOSE,UOM,QTY,WT PER mtr,TOTAL WT,PRICE,VALUE
MBM075040012,"0.75"" INSERT B21 C46400 BRASS",,PCS,198,0.005,0.99,730,722.70
MBM075060003,"0.75"" COMPRESSOR CASTING",,NOS,176,0.57,0,0,0.00
MBM075120003,"0.75"" MANUAL BONNET STD MACHINING",,PCS,132,0.379,132,274,36168.00
MBM075220003,"0.75"" MANUAL BONNET SPOTFACE MACHINING",,PCS,0,0.36,0,284.22,0.00
MBM100030013,"1.0"" BUSH B21 BRASS",,PCS,148,0.019,2.812,730,2052.76
MBM100040012,"1.0"" INSERT B21 C46400 BRASS",,PCS,332,0.005,1.66,730,1211.80
MBM100060003,"1.0"" COMPRESSOR CASTING",,NOS,0,0.57,0,0,0.00
MBM100120003,"1.0"" MANUAL BONNET STD MACHINING",,PCS,119,0.356,119,273,32487.00
MBM100220003,"1.0"" MANUAL BONNET SPOTFACE MACHINING",,PCS,0,0.35,0,286.87,0.00
MBM150030013,"1.5"" BUSH B21 BRASS",,PCS,12,0.065,0.78,730,569.40
MBM150040012,"1.5"" INSERT B21 C46400 BRASS",,PCS,46,0.009,0.378,730,275.94
MBM150060003,"1.5"" COMPRESSOR CASTING",,NOS,0,0.57,0,0,0.00
MBM150120003,"1.5"" MANUAL BONNET STD MACHINING",,PCS,0,1.36,0,861,0.00
MBM150220003,"1.5"" MANUAL BONNET SPOTFACE MACHINING",,PCS,33,1.027,33,861,28413.00
MBM200030013,"2.0"" BUSH B21 C46400 BRASS",,PCS,11,0.065,0.715,730,521.95
MBM200040012,"2.0"" INSERT B21 C46400 BRASS",,PCS,42,0.01,0.46,730,335.80
MBM200060003,"2.0"" COMPRESSOR CASTING",,NOS,0,0.357,0,0,0.00
MBMA19016008,"2"" MK96 SPG HOUSING PIPE A19016",,MTR,1,0,0,0,0
MBMA22787008,"1-1/2"" MK96 SPG HOUSING PIPE A22787",,MTR,0,0,0,0,0
MBMA22789008,"1 1/2"" TOP PLATE MK96 SPG HOUSING A22789",,MTR,34,0,0,0,0
MBMA22791008,TOP BUSHING PLATE A22791 (C91738),,MTR,0,0,0,0,0
MEA1501A1003,"1.5"" ECLIPSE BONNET STD SLEEVE ASSEMBLY",,PCS,0,1.17,0,898.01,0.00
MEA1502A1003,"1.5"" ECLIPSE BONNET SPOTFACE SLEEVE ASSEMBLY",,PCS,0,1.704,0,871.73,0.00
MEC050010003,"0.5"" ECLIPSE BONNET CASTING",,NOS,0,0.36,0,189,0.00
MEC075010003,"0.75"" ECLIPSE BONNET CASTING",,NOS,0,0.52,0,315,0.00
MEC100010003,"1.0"" ECLIPSE BONNET CASTING",,NOS,0,0.58,0,305,0.00
MEC150010003,"1.5"" ECLIPSE BONNET CASTING",,NOS,0,1.64,0,861,0.00
MEC200100003,"2.0"" ECLIPSE BONNET CASTING",,NOS,0,2.19,0,1149.75,0.00
MEM050030019,"0.5"" ECLIPSE BONNET SLEEVE PHOSPHORUS BRONZE",,PCS,17,0.017,0.289,325,93.93
MEM050120003,"0.5"" ECLIPSE BONNET STD MACHINING",,PCS,0,0.3,0,146,0
MEM050220003,"0.5"" ECLIPSE BONNET SPOTFACE MACHINING",,PCS,0,0.263,0,189,0.00
MEM075030019,"0.75"" ECLIPSE BONNET SLEEVE PHOSPHORUS BRONZE",,NOS,0,0.017,0,325,0
MEM075120003,"0.75"" ECLIPSE BONNET STD MACHINING",,NOS,0,0.51,0,315,0.00
MEM075220003,"0.75"" ECLIPSE BONNET SPOTFACE MACHINING",,NOS,0,0.5,0,189,0.00
MEM100030019,"1.0"" ECLIPSE BONNET SLEEVE PHOSPHORUS BRONZE",,PCS,0,0.017,0,325,0.00
MEM100120003,"1.0"" ECLIPSE BONNET STD MACHINING",,PCS,25,0,0,800,20000
MEM100220003,"1.0"" ECLIPSE BONNET SPOTFACE MACHINING",,PCS,0,0.56,0,305,0
MEM150030019,"1.5"" ECLIPSE BONNET SLEEVE PHOSPHORUS BRONZE",,PCS,28,0.033,0.924,325,300.30
MEM150120003,"1.5"" ECLIPSE BONNET STD MACHINING",,PCS,0,1.6,0,861,0
MEM150220003,"1.5"" ECLIPSE BONNET SPOTFACE MACHINING",,PCS,24,1.335,24,861,20664.00
MEM200030019,"2.0"" ECLIPSE BONNET SLEEVE PHOSPHORUS BRONZE",,PCS,0,0.38,0,325,0.00
MHC152001003,"1.5""- 2"" HANDWHEEL CASTING CF8",,NOS,0,0,0,445,0
P00840070007,"0.84"" OD X 0.708"" ID SS304 PIPE",,MTR,1.16,0.59,0.702095504191008,290,203.61
P01050092007,"1.05"" OD X 0.92"" ID SS304 PIPE",,MTR,1.04,1.02,1.02,290,295.80
P01310118007,"1.31"" OD X 1.18"" ID SS304 PIPE",,MTR,1.03,1.29,1.29,290,374.10
P01900177007,"1.90"" OD X 1.77"" ID SS304 PIPE",,MTR,1,1.89,1.89,290,548.10
P02000133014,"2.0"" OD X 1.33"" ID MS PIPE","2"" TURN DOWNCOUPLING ",MTR,0,9.66,0,85,0.00
P02120133014,"2.125"" OD X 1.33"" ID PIPE","1 1/4"" DRIVE COUPLING",MTR,11.93,11,131.23,85,11154.55
P02870200001,"2.87"" OD X 2.0"" ID PIPE K55","2"" DR SHOE",MTR,142.38,16.8,2391.984,109,260726.26
P02870212014,"2.87"" OD X 2.125"" ID PIPE","2"" DRIVE COUPLING",MTR,9.105,14,127.47,85,10834.95
P03780315014,"3.78"" OD X 3.15"" ID MS PIPE","3"" TPI COUPLING",MTR,5.39,18.75,101.0625,85,8590.31
P04000009014,100 MM X 100 MM X 2.5 MM THICKNESS SQUARE PIPE,"4"" SQUARE M PIPE ",MTR,0,7.65,0,95,0.00
P04000011014,100 MM X 100 MM X 2.9 MM THICKNESS SQUARE PIPE,"4"" SQUARE M PIPE ",MTR,9,7.65,68.85,95,6540.75
P04500402008,"4.5"" OD X 4.026"" ID  SCH 40 SS316 PIPE",,MTR,1.321,17.25,22.78725,290,6608.30
P04500425014,"4.5"" OD X 4.25"" ID MS ERW PIPE","4"" RM PIPE",MTR,1.361,9,12.249,85,1041.17
P04720409014,"4.72"" OD X 4.09"" ID MS PIPE","4"" TPI COUPLING",MTR,5.25,23.89,125.4225,85,10660.91
P05000401014,"5.0"" OD X 4.01"" ID MS PIPE","4"" PRESS BY PRESS",MTR,11.5506,33.86,391.103316,91,35590.40
P05000405001,"5.0"" OD X 4.05"" ID K55 PIPE","4"" DR SHOE",MTR,236.21,34,8031.14,109,875394.26
P05110464014,"5.11"" OD X 4.64"" ID MS PIPE","4"" RM TOP CAP PIPE",MTR,0,15,0,85,0.00
P05500500014,"5.5"" OD X 5.0"" ID PIPE A105","5""CS NIPPLE & PLUG",MTR,0,21,0,85,0.00
P05550421014,"5.55"" OD X 4.21"" ID MS PIPE A105","4"" R& D COUPLING",MTR,0,37,0,92,0.00
P05550515007,"5.55"" OD X 5.15"" ID SS304 ERW PIPE",PLUG & NIPPLE(SS),MTR,3.06,21,64.26,272,17478.72
P05780512014,"5.78"" x 5.12"" MS PIPE PACKER SAMPLE","PACKER SAMPLE PIPE & 5"" TPI COUPLING",MTR,0,11,0,272,0.00
P05780519014,"5.78"" OD X 5.19"" ID MS PIPE","5"" TPI RT COUPLING",MTR,6.18,0,0,0,0
P05830527007,"5.83"" OD X 5.27"" ID SS304 SEAMLESS PIPE",PACKER SS,MTR,3.048,25,76.2,272,20726.40
P05870518014,"5.875"" OD X 5.188""ID MS PIPE A105",CS PACKER,MTR,0,37,0,95,0.00
P06000505001,"6.0"" OD X 5.05"" ID K55 PIPE","5"" DR SHOE",MTR,268,41.63,11156.84,104,1160311.36
P06000519014,"6.0"" OD X 5.19"" ID SEAMLESS PIPE A105","5"" COUPLING,WELD RING, PACKER",MTR,0,36.87,0,95,0.00
P06000575014,"6.0"" OD X 5.75"" ID MS ERW PIPE A105","6"" RM MONUMENT CAP PIPE CUTTING",MTR,5.31,12,63.72,85,5416.20
P06000588025,152.4MM OD X 149.4MM ID ALUMINIUM PIPE,"7"" ALUM MANHOLE PIPE",MTR,99.795,2,199.59,310,61872.90
P06300512014,"6.3"" OD X 5.12"" ID SEAMLESS PIPE A105","5"" WELD RINNG (BORE MAX)",MTR,26.39,0,0,0,0
P06300496014,"6.3"" OD X 4.96"" /5.06"" ID A105 SEAMLESS PIPE","5"" WELD RING (HEAD WATER)",MTR,15.3,,,,
P06610614014,"6.61"" OD X 6.14"" ID PIPE A105","6"" CS CLOSE NIPPLE",MTR,0,24,0,95,0.00
P06620606008,"6.625"" OD X 6.065"" ID  SCH 40 SS316 PIPE",,MTR,2.02,30.61,61.8322,290,17931.34
P06620625014,"6.625"" OD X 6.25"" ID MS PIPE A105",,MTR,0,0,0,0,0
P06630631025,168.4MM OD X 160.4MM ID ALUMINIUM PIPE(THICK PIPE),"7"" ALUM MANHOLE PIPE",MTR,26.879,4.88,131.16952,310,40662.55
P07000622014,"7.0"" OD X 6.22"" ID MS PIPE A105","6"" LP, WELD RING& ECONONMIC",MTR,76.847,42,3227.574,95,306619.53
P07000650014,"7.0"" OD X 6.50"" ID MS PIPE A105","6"" WELD RING (CENTER OUT)",MTR,13.37,0,0,0,0
P07250612010,"7.25"" OD X 6.12"" ID PIPE SAE4140",HD FLUTED BODY,NOS,13,0,0,1120,14560.00
P07420610001,"7.42"" OD X 6.10"" ID  K55 A BORE PIPE (6.125"")","6"" DR SHOE",MTR,439.234,70.78,31088.98252,105,3264343.16
P07420618001,"7.42"" OD X 6.18"" ID K55 B BORE PIPE (6.25"")","6"" DR SHOE",MTR,0,70.74,0,105,0.00
P07420622014,"7.42"" OD X 6.22"" ID PIPE A106 GR B","6"" COUPLING",MTR,442.656,63.89,28281.29184,100,2828129.18
P07630590014,"7.63"" OD X 5.9"" ID A105 PIPE",,MTR,0,,,95,0
P07630614014,"7.63"" OD X 6.14"" ID A105 PIPE",,MTR,0,77.5,0,95,0.00
P07630638014,"7.63"" OD X 6.38"" ID A105 PIPE",LTD SERVICE,MTR,0,77.5,0,95,0.00
P08620826014,"8.62"" OD X 8.26"" ID MS PIPE","8"" MANHOLE PIPE",MTR,4.777,24,114.648,70,8025.36
P09630807001,"9.63"" OD X 8.07"" ID K55 PIPE","8"" DR SHOE",MTR,71.882,104,7475.728,84.5,631699.02
P09640807014,"9.64"" OD X 8.07""/8.22"" ID PIPE A105 GR B","8"" COUP,WELD RING",MTR,0,104,0,95,0.00
P11771019014,"11.77""OD X 10.19""ID A105 MS PIPE","10"" COUPLING",MTR,12.56,131.2,1647.872,95,156547.84
P12751240014,"12.75"" OD X 12.40"" ID MS PIPE","12"" MANHOLE PIPE",MTR,1.651,36,59.436,80,4754.88
P12761016014,"12.76"" OD X 10.16"" ID MS PIPE A105","10 "" WELD RING",MTR,12.69,175,2220.75,85,188763.75
P25000600014,25MM WIDTH X 6MM THICKNESS MS FLAT,,MTR,11.000,1.44,1.175,65,76.38
P32000600014,32MM WIDTH X 6MM THICKNESS MS FLAT,,MTR,2.045,2.5,1.502,65,97.63
P40000600014,40MM WIDTH X 6MM THICKNESS MS FLAT,,MTR,7.023,4,28.092,66,1854.07
PL0055000008,14MM THICKNESS SS316 PLATE,,NOS,0,0,0,0,0
PL0070800008,18MM THICKNESS SS316 PLATE,,NOS,0,0,0,0,0
PL0086000008,22MM THICKNESS SS316 PLATE,,NOS,0,0,0,0,0
PL0240121014,3.15MM THICKNESS MS PLATE,,NOS,0,0,0,0,0
PL0425000008,"DIA 4.25"" ROUND PLATE CUTTING 14MM THICK SS316 PLATE A22789",,NOS,0,0,0,670,0
PL0511002007,130MM DIA 6MM THICKNESS SS PLATE SS304,PLUG BTM PLATE SS,MTR,0,6.12,0,70,0.00
PL0511002014,130MM DIA 6MM THICKNESS MS PLATE,,MTR,0,6.12,0,70,0.00
PL0574006008,146MM DIA 15.8MM THICKNESS SS PLATE SS316,,MTR,0,0,0,398,0
PL0590000008,"DIA 5.9"" ROUND PLATE PLASMA CUTTING SS316 PLATE B96368",,NOS,0,0,0,113,0
PL0600039014,"6"" OD X 10MM THICKNESS MS PLATE",,MTR,0,8.5,0,70,0.00
PL0600047007,"6.0"" OD X 12MM THICKNESS SS304 PLATE",SS FLOW WELL SEAL,SHEET,0,75,0,270,0.00
PL0600047014,"6.0"" OD X 12MM THICKNESS PLATE",,MTR,0,14.30,0,70,0.00
PL0700039014,"7"" OD X 10MM THICKNESS PLATE CS",,sq inch,0,0,0,70,0
PL0767045008,"DIA 7.625""OD X 4.515"" ID ROUND PLATE PLASMA CUTTING B22788 14MM THICK PLATE",,NOS,32,0,0,0,0
PL0987066008,"DIA 9.875"" OD X 6.64"" ID ROUND PLATE PLASMA CUTTING 14MM THICK SS316",,NOS,10,0,,0,0
R00660000019,17MM PHOSPHORUS BRONZE TUBE,,MTR,0,0,0,0,0
R00750000023,"0.75"" DIA NYLON RUBBER",,NOS,0,2.22,0,50,0.00
R01020000028,26MM DIA SS410,,MTR,0.895,4,3.58,118,422.44
R01600000024,"1.6"" DIA HSN RUBBER",,NOS,0,0,0,0,0
R01770000028,45MM DIA SS410,,MTR,0.74,12.5,9.25,118,1091.50
R02160000028,55MM DIA SS410,,MTR,0.76,19,14.44,118,1703.92
R02750000028,70MM DIA SS410,,MTR,1.06,30,31.8,118,3752.40
R03140000028,80MM DIA  SS410,,MTR,0.69,40,27.6,118,3256.80
R03930000028,100MM DIA SS410,,MTR,0,61,0,118,0.00
R07340606010,"7.34"" OD X 6.06"" ID SAE4140 RING",,NOS,0,0,0,0,0
R10430858002,"10.43"" OD X 8.58"" ID SAE1045 RING","9 5/8"" DUAL 8 5/8""",NOS,0,4.95,0,1232,0.00
R10430889002,"10.43"" OD X 8.89"" ID SAE1045 RING","9 5/8"" DUAL 9 3/16""",NOS,0,0,0,1232,0.00
R11531015002,"11.53"" OD X 10.15"" ID PIPE SAE1045","10"" DUAL ROTARY ",NOS,0,0,0,1265,0.00
R11771023002,"11.77"" OD X 10.23"" ID SAE1045 RING","10"" DRIVE SHOE RING",NOS,0,0,0,7200,0.00
R13541212002,"13.54"" OD x 12.12"" ID SAE1045 RING",,NOS,0,0,0,1518,0.00
R14001225002,"14"" OD X 12.25"" ID SAE1045 RING",,NOS,0,0,0,1573,0
R14251232002,"14.25"" OD X 12.32"" ID SAE1045 RING","12"" DUAL ROTARY ",NOS,0,6.19,0,1518,0.00
R14321220002,"14.32"" OD X 12.2"" ID SAE1045 RING",,NOS,0,0,0,1573,0
R16621537002,"16.625"" OD X 15.375"" ID SAE1045 RING",,MTR,0,0,0,1444,0
R18661736002,"18.66"" OD X 17.36"" ID SAE1045 RING",,NOS,0,0,0,2888,0.00
R20621937002,"20.625"" OD X 19.375"" ID SAE1045",,NOS,0,0,0,2888,0.00
R24642338002,"24.645"" OD X 23.375"" ID SAE1045 RING",,NOS,0,13,0,3300,0.00
RD0055000006,14MM DIA ROD SS303,"0.75"" MANUL STEM",MTR,7.887,1.2,9.4644,328,3104.32
RD0055000008,14MM DIA SS316L ROD,,MTR,0,0,0,0,0
RD0055000013,DIA 14MM B21 BRASS ROD,INSERT ,MTR,23.24,1.34,31.1416,730,22733.37
RD0055000028,14MM DIA ROD SS410,,MTR,1.61,1.2,1.932,118,227.98
RD0063000006,16MM DIA SS303 ROD,,MTR,0,1.57,0,328,0.00
RD0063000012,16MM DIA C46400 NAVAL BRASS ROD,GARDEN HOSE,MTR,0,1.75,0,730,0.00
RD0063000028,16MM DIA SS410 ROD,,MTR,3.22,1.52,4.8944,118,577.54
RD0063006034,16MM DIA NITRONICS 60 ROD,,MTR,1,,,,
RD0070000006,18MM DIA SS303 ROD,"1.0"" MANUAL STEM",MTR,23.74,1.99,47.2426,328,15495.57
RD0070000013,DIA 18MM B21 BRASS ROD,INSERT ,MTR,11.89,2.2,26.158,730,19095.34
RD0078000006,20MM DIA SS303 ROD,"2.0"" MANUAL STEM",MTR,5.6,2.45,13.72,328,4500.16
RD0078000029,20MM OHNS ROD,,MTR,0,2.4,0,95,0.00
RD0086000019,22MM PHOSPHORUS BRONZE ROD,,MTR,0,2.98,0,325,0.00
RD0086000030,22MM DIA D2 ROD -EXPANDER,,MTR,0.178,2.94,0.52332,310,162.23
RD0088000013,DIA 23MM B21 BRASS ROD IS:291,INSERT ,MTR,9.906,3.52,34.86912,730,25454.46
RD0098000006,25MM DIA SS303 ROD,"3.0"" MANUAL STEM",MTR,1.27,3.81,4.8387,328,1587.09
RD0098000029,25MM OHNS ROD,,MTR,4.78,3.8,18.164,95,1725.58
RD0100000021,25MM DIA EN19 ROD,,MTR,0.337,4,1.348,105,141.54
RD0110000008,28MM DIA ROD SS316,,MTR,0,0,0,398,0
RD0118000007,30MM DIA SS304 ROD,,MTR,0.49,5.5,2.695,100,269.50
RD0118000013,DIA 30MM B21 BRASS ROD IS:291,,MTR,0.848,,,730,
RD0137000006,35MM DIA SS303 ROD,"4"" MANUAL STEM",MTR,0.06,7.52,0.4512,328,147.99
RD0137013008,35MM X 35MM SQUARE ROD SS316 (A77354),DISC BLANK,MTR,0,,,,
RD0137055008,35MM X 14MM THICKNESS SS SQUARE ROD SS316,,MTR,0,0,0,398,0
RD0157000007,40MM DIA SS304 ROD,,MTR,0.191,9.8,1.8718,100,187.18
RD0157000013,DIA 40MM B21 BRASS ROD IS:291,,MTR,0,10.6,0,730,0.00
RD0157000018,40MM DIA EN24 ROD,,MTR,0,9.78,0,90,0.00
RD0157000029,40MM OHNS ROD,,MTR,0,9.78,0,95,0.00
RD0181000013,DIA 46MM B21 BRASS ROD,,MTR,0,14.12,0,730,0.00
RD0196000008,5MM DIA ROD SS316,,MTR,0,0.14,0,398,0.00
RD0196000029,50MM DIA OHNS ROD,,MTR,0,15.37,0,95,0.00
RD0197000007,50MM DIA SS304 ROD,,MTR,0.191,15.21,2.90511,100,290.51
RD0248000029,63MM DIA OHNS ROD,,MTR,0,24.36,0,90,0.00
RD0250000021,63MM DIA EN19 ROD,,MTR,0,25,0,105,0.00
RD0255000028,65MM DIA SS410 ROD,,MTR,1.34,25,33.5,118,3953.00
RD0255900008,65MM DIA ROD SS316,,MTR,1.43,26.05,37.2515,418,15571.13
RD0275000008,70MM DIA ROD SS316,,MTR,0,30.28,0,418,0.00
RD0295000009,75MM DIA ROD SS316L,,MTR,0,34.59,0,398,0.00
RD0314000010,80MM DIA ROD SAE4140,,MTR,1.04,39.14,40.7056,76,3093.63
RD0315000010,3.15MM HARDFACING WELDING ROD,,PKT,5.5,2.507,13.7885,500,2750.00
RD0334000028,85MM DIA SS410 ROD,,MTR,0.9,44,39.6,118,4672.80
RD0354000008,90MM DIA ROD SS316,,MTR,0,41.73,0,418,0.00
RD0354000028,90MM DIA SS410 ROD,,MTR,0.69,49.7,34.293,118,4046.57
RD0354014008,90MM X 70MM X 36MM THICKNESS SS RECTANGULAR ROD SS316,,MTR,0,0,0,398,0
RD0370000021,94MM DIA EN19 ROD,,MTR,0,54,0,105,0.00
RD0393000009,100MM DIA SS316L ROD,,MTR,0.127,0,0,398,0
RD0393000016,100mm DIA EN36C ROD,,MTR,1,63,63.37,90,5703.30
RD0393021008,100MM X 90MM X 55MM THICKNESS RECTANGULAR ROD SS316,,MTR,0,0,0,398,0
RD0413000002,105MM DIA ROD SAE1045   TOL: +/- 1.72,"3"" DRIVE SHOE ",MTR,0.57,67.57,38.5149,77,43.89
RD0413000028,105MM DIA ROD SS410,,MTR,0,67.7,0,118,0.00
